"query name","prior Vuln for rand prior","Traditional post-vuln for random Prior","Max-based post-vuln for random Prior","Leakage using traditional pvuln for rand prior","Leakage using max-based pvuln for rand prior"
"q2",4.54e-2,6.41e-2,0.35961538461538467,0.49763205932782606,2.9856905391177166
"q2",5.94e-2,9.89e-2,0.3065015479876161,0.7355075899583451,2.3673595241343683
"q2",4.95e-2,7.95e-2,0.23942537909018355,0.6835263352047456,2.2740756557564974
"q2",5.21e-2,8.29e-2,0.49517684887459806,0.6700887292172422,3.2485885878352403
"q2",5.61e-2,8.31e-2,0.216,0.5668477061615516,1.9449586364420381
"q2",6.12e-2,8.49e-2,0.24999999999999992,0.472232900860387,2.0303245368567975
"q2",6.21e-2,8.97e-2,0.2768304914744233,0.5305147166987798,2.156337683708941

"query name","prior Vuln for piece-wise random prior","Traditional post-vuln for piece-wise rand Prior","Max-based post-vuln for piece-wise rand Prior","Leakage using trad. pvuln for p-wise rand prior","Leakage using max-based pvuln for p-wise prior"
"q2",3.86e-2,5.82e-2,0.3429571303587052,0.5924183056402035,3.151355498182099
"q2",0.1064,0.11889999999999999,0.1720972923359339,0.16025056424446615,0.693726248315596
"q2",4.92e-2,6.25e-2,0.2276098117512835,0.3451978742102094,2.209832529673017
"q2",4.96e-2,7.296666666666667e-2,0.21371951219512197,0.5568974280729148,2.1073066036677517
"q2",4.94e-2,6.07e-2,0.3282498184458969,0.2971854746710044,2.7322112662449953
"q2",1.9563636363636363e-2,2.4775401069518716e-2,9.090909090909091e-2,0.34073385811367024,2.2162500169928254
"q2",4.55e-2,5.26e-2,0.23905723905723905,0.2091962542062439,2.3934176431673073
"q2",3.36e-2,4.84e-2,0.36543209876543215,0.5265458144958343,3.443070224627652
"q2",2.71e-2,4.7549999999999995e-2,0.2664495114006515,0.8111524895066917,3.297497430879785
"q2",5.4220000000000004e-2,7.255333333333333e-2,0.16649512623357757,0.4202167846863172,1.618582928007911
"q2",5.226666666666666e-2,7.256666666666667e-2,0.4438267170565636,0.4734158480729985,3.086033457394338
"q2",2.41e-2,4.21e-2,0.27760641579272055,0.8047870868364345,3.5259358590189835
"q2",0.2271,0.3425,0.5424631776872455,0.5927762820283637,1.2561975049298886
"q2",4.53e-2,7.49e-2,0.21497212006169175,0.7254546684125157,2.2465666120731194
"q2",6.43e-2,8.013333333333333e-2,0.17722558018058354,0.317583752662082,1.4626962103027623
"q2",3.44e-2,5.86e-2,0.38039439839954287,0.76849209972015,3.4670155315193947
"q2",5.67e-2,7.595e-2,0.23437499999999994,0.4217012295598545,2.047398050215739
"q2",4.99e-2,6.063333333333333e-2,0.28048780487804875,0.2810713215930696,2.4908263256511183
"q2",4.14e-2,4.783333333333333e-2,0.12511344483339817,0.20838556334256877,1.595534158650755
"q2",7.06e-2,7.735e-2,0.1705981465880371,0.13173310817785552,1.27286188440835


"query name","prior Vuln for rand prior","Traditional post-vuln for random Prior","Max-based post-vuln for random Prior","Leakage using traditional pvuln for rand prior","Leakage using max-based pvuln for rand prior"
"q3",6.73e-2,0.1142,0.23214901690238013,0.7628842407525257,1.7863727614880527
