speed	1	10	0	0.1000000000	3.3219280949	0.3084541100	1.6968722254	0.2084541100	1.6250558695
speed	1	10	1	0.1000000000	3.3219280949	0.3107222112	1.6863027224	0.2107222112	1.6356253724
speed	1	10	2	0.1000000000	3.3219280949	0.3746728700	1.4162965787	0.2746728700	1.9056315162
speed	1	10	3	0.1000000000	3.3219280949	0.6268055279	0.6739101916	0.5268055279	2.6480179033
speed	1	10	4	0.1000000000	3.3219280949	0.8092759523	0.3052963686	0.7092759523	3.0166317263
speed	1	10	5	0.1000000000	3.3219280949	0.8292940114	0.2700444207	0.7292940114	3.0518836742
speed	1	10	6	0.1000000000	3.3219280949	0.8297653847	0.2692246213	0.7297653847	3.0527034735
speed	1	10	7	0.1000000000	3.3219280949	0.8297653847	0.2692246213	0.7297653847	3.0527034735
speed	1	10	8	0.1000000000	3.3219280949	0.8297653847	0.2692246213	0.7297653847	3.0527034735
speed	1	10	9	0.1000000000	3.3219280949	0.8297653847	0.2692246213	0.7297653847	3.0527034735
speed	1	10	10	0.1000000000	3.3219280949	0.8297653847	0.2692246213	0.7297653847	3.0527034735
